dir_x: 0.007113, dir_y: -0.999975
dir_x: 0.014697, dir_y: -0.999892
dir_x: 0.022204, dir_y: -0.999753
dir_x: 0.029360, dir_y: -0.999569
dir_x: 0.037188, dir_y: -0.999308
dir_x: 0.044260, dir_y: -0.999020
dir_x: 0.051628, dir_y: -0.998666
dir_x: 0.059264, dir_y: -0.998242
dir_x: 0.069954, dir_y: -0.997550
dir_x: 0.076704, dir_y: -0.997054
dir_x: 0.084428, dir_y: -0.996430
dir_x: 0.091973, dir_y: -0.995762
dir_x: 0.099934, dir_y: -0.994994
dir_x: 0.107233, dir_y: -0.994234
dir_x: 0.113825, dir_y: -0.993501
dir_x: 0.120654, dir_y: -0.992695
dir_x: 0.127610, dir_y: -0.991824
dir_x: 0.134760, dir_y: -0.990878
dir_x: 0.141766, dir_y: -0.989900
dir_x: 0.148601, dir_y: -0.988897
dir_x: 0.155537, dir_y: -0.987830
dir_x: 0.162198, dir_y: -0.986758
dir_x: 0.169056, dir_y: -0.985606
dir_x: 0.175989, dir_y: -0.984392
dir_x: 0.183039, dir_y: -0.983106
dir_x: 0.189919, dir_y: -0.981800
dir_x: 0.196871, dir_y: -0.980429
dir_x: 0.203734, dir_y: -0.979026
dir_x: 0.210581, dir_y: -0.977576
dir_x: 0.217591, dir_y: -0.976040
dir_x: 0.224308, dir_y: -0.974518
dir_x: 0.230942, dir_y: -0.972967
dir_x: 0.237773, dir_y: -0.971321
dir_x: 0.244937, dir_y: -0.969539
dir_x: 0.251627, dir_y: -0.967824
dir_x: 0.258288, dir_y: -0.966068
dir_x: 0.264973, dir_y: -0.964256
dir_x: 0.271566, dir_y: -0.962420
dir_x: 0.277808, dir_y: -0.960637
dir_x: 0.284208, dir_y: -0.958763
dir_x: 0.291350, dir_y: -0.956616
dir_x: 0.298569, dir_y: -0.954388
dir_x: 0.305067, dir_y: -0.952331
dir_x: 0.311844, dir_y: -0.950133
dir_x: 0.318034, dir_y: -0.948079
dir_x: 0.324262, dir_y: -0.945967
dir_x: 0.330501, dir_y: -0.943806
dir_x: 0.336794, dir_y: -0.941579
dir_x: 0.342857, dir_y: -0.939388
dir_x: 0.349184, dir_y: -0.937054
dir_x: 0.357786, dir_y: -0.933804
dir_x: 0.363910, dir_y: -0.931434
dir_x: 0.369966, dir_y: -0.929045
dir_x: 0.376009, dir_y: -0.926616
dir_x: 0.381989, dir_y: -0.924167
dir_x: 0.388097, dir_y: -0.921619
dir_x: 0.394240, dir_y: -0.919008
dir_x: 0.400159, dir_y: -0.916446
dir_x: 0.406223, dir_y: -0.913774
dir_x: 0.412331, dir_y: -0.911034
dir_x: 0.418705, dir_y: -0.908122
dir_x: 0.424591, dir_y: -0.905385
dir_x: 0.430536, dir_y: -0.902573
dir_x: 0.436810, dir_y: -0.899554
dir_x: 0.442834, dir_y: -0.896604
dir_x: 0.448691, dir_y: -0.893687
dir_x: 0.454395, dir_y: -0.890800
dir_x: 0.460249, dir_y: -0.887790
dir_x: 0.466117, dir_y: -0.884723
dir_x: 0.471721, dir_y: -0.881748
dir_x: 0.477398, dir_y: -0.878687
dir_x: 0.483140, dir_y: -0.875543
dir_x: 0.488717, dir_y: -0.872443
dir_x: 0.494355, dir_y: -0.869260
dir_x: 0.499909, dir_y: -0.866078
dir_x: 0.505607, dir_y: -0.862764
dir_x: 0.511383, dir_y: -0.859353
dir_x: 0.517521, dir_y: -0.855670
dir_x: 0.523017, dir_y: -0.852322
dir_x: 0.528544, dir_y: -0.848906
dir_x: 0.536585, dir_y: -0.843846
dir_x: 0.542120, dir_y: -0.840301
dir_x: 0.547504, dir_y: -0.836803
dir_x: 0.552880, dir_y: -0.833261
dir_x: 0.558373, dir_y: -0.829590
dir_x: 0.564095, dir_y: -0.825710
dir_x: 0.570001, dir_y: -0.821644
dir_x: 0.577486, dir_y: -0.816401
dir_x: 0.582761, dir_y: -0.812644
dir_x: 0.587952, dir_y: -0.808896
dir_x: 0.593130, dir_y: -0.805107
dir_x: 0.598443, dir_y: -0.801165
dir_x: 0.603486, dir_y: -0.797374
dir_x: 0.608821, dir_y: -0.793308
dir_x: 0.613989, dir_y: -0.789315
dir_x: 0.619032, dir_y: -0.785366
dir_x: 0.623958, dir_y: -0.781458
dir_x: 0.629053, dir_y: -0.777363
dir_x: 0.634174, dir_y: -0.773190
dir_x: 0.638955, dir_y: -0.769244
dir_x: 0.643781, dir_y: -0.765210
dir_x: 0.648968, dir_y: -0.760815
dir_x: 0.656708, dir_y: -0.754145
dir_x: 0.661716, dir_y: -0.749754
dir_x: 0.667602, dir_y: -0.744518
dir_x: 0.672692, dir_y: -0.739922
dir_x: 0.678344, dir_y: -0.734744
dir_x: 0.683802, dir_y: -0.729667
dir_x: 0.689241, dir_y: -0.724532
dir_x: 0.694817, dir_y: -0.719187
dir_x: 0.700628, dir_y: -0.713527
dir_x: 0.705781, dir_y: -0.708430
dir_x: 0.710847, dir_y: -0.703347
dir_x: 0.716311, dir_y: -0.697781
dir_x: 0.721063, dir_y: -0.692869
dir_x: 0.725973, dir_y: -0.687723
dir_x: 0.730828, dir_y: -0.682562
dir_x: 0.735492, dir_y: -0.677534
dir_x: 0.740119, dir_y: -0.672476
dir_x: 0.744934, dir_y: -0.667138
dir_x: 0.749839, dir_y: -0.661621
dir_x: 0.754794, dir_y: -0.655962
dir_x: 0.759128, dir_y: -0.650941
